ID	CURIS	CORPUS_NAME	TERMS QUERY	NOTES
1251	NCBITaxon:28292	Sandfly fever Sicilian virus		Sicilian sandfly fever virus | sandfly fever sicilian phlebovirus | sandfly fever sicilian virus | sandfly fever virus	Human pathogen
1252	NCBITaxon:688699	Sandfly fever Turkey virus		Sandfly Sicilian Turkey virus | sandfly fever turkey phlebovirus | sandfly fever turkey virus	Human pathogen
1253	NCBITaxon:95342	Sapporo virus		Human calicivirus SLV | sapporo sapovirus | sapporo virus	Human pathogen
1254	NCBITaxon:11033	Semliki forest virus		semliki forest alphavirus | semliki forest virus	Human pathogen
1255	NCBITaxon:1980490	Seoul virus		Seoul hantavirus | Seoul orthohantavirus | Seoul virus | epidemic hemorrhagic fever virus | seoul hantavirus | seoul virus	Human pathogen
1256	NCBITaxon:2697049	Severe acute respiratory syndrome coronavirus 2		2019-nCoV | COVID-19 virus | HCoV-19 | Human coronavirus 2019 | SARS-2 | SARS-CoV-2 | SARS-CoV2 | SARS2 | severe acute respiratory syndrome coronavirus 2	Human pathogen
1257	NCBITaxon:1003835	Severe fever with thrombocytopenia syndrome virus 		SFTS | SFTS bunyavirus | SFTS virus | Severe fever with thrombocytopenia syndrome bunyavirus | severe fever with thrombocytopenia syndrome bandavirus  | severe fever with thrombocytopenia syndrome virus 	Human pathogen
1258	NCBITaxon:11642	Simian foamy virus		Macaque simian foamy virus | simian foamy spumavirus | simian foamy virus	Human pathogen
1261	NCBITaxon:1979162	Simian virus 5		Simian parainfluenza virus 5 | (Simian paramyxovirus & SV5) | Simian virus 5 | simian paramyxovirus SV5 | simian rubulavirus 5 | simian virus 5 | simian virus 5 SV5	Human pathogen
1262	NCBITaxon:1980491	Sin Nombre orthohantavirus 		Sin Nombre hantavirus | Sin Nombre virus | sin nombre orthohantavirus 	Human pathogen
1263	NCBITaxon:11034	Sindbis virus		sindbis alphavirus | sindbis virus	Human pathogen
1264	NCBITaxon:2560767	Snowshoe hare orthobunyavirus 		snowshoe hare orthobunyavirus 	Human pathogen
1266	NCBITaxon:11984	Southampton virus		southampton norovirus | southampton virus	Human pathogen
1267	NCBITaxon:64318	Spondweni virus		spondweni flavivirus | spondweni virus	Human pathogen
1268	NCBITaxon:11080	St Louis encephalitis virus		St. Louis encephalitis virus | st louis encephalitis flavivirus | st louis encephalitis virus	Human pathogen
1269	NCBITaxon:186540	Sudan ebolavirus 		Ebolavirus Sudan | Sudan Ebola virus | sudan ebolavirus 	Human pathogen
1272	NCBITaxon:99000	Tanapox virus		tanapox virus | tanapox yatapoxvirus	Human pathogen
1274	NCBITaxon:11084	Tick-borne encephalitis virus		FSME virus | Far Eastern tick-borne encephalitis virus | Russian spring-summer encephalitis virus | Taiga virus | Tick born encephalitis virus | tick-borne encephalitis flavivirus | tick-borne encephalitis virus | tick-borne encephalitis virus TBE virus | tick-borne encephalitis virus TBEV	Human pathogen
1275	NCBITaxon:60877	Tonate virus		Venezuelan equine encephalitis virus IIIB | tonate alphavirus | tonate virus	Human pathogen
1276	NCBITaxon:68887	Torque teno virus		Hepatitis TT virus | TT virus | torque teno alphatorquevirus | torque teno virus | unidentified ssDNA virus TA278	Human pathogen
1277	NCBITaxon:11590	Toscana virus		Toscana virus TOS | toscana phlebovirus | toscana virus	Human pathogen
1278	NCBITaxon:862909	Trichodysplasia spinulosa-associated polyomavirus		trichodysplasia spinulosa-associated polyomavirus	Opportunistic human pathogen
1279	NCBITaxon:2560823	Trivittatus orthobunyavirus		trivittatus orthobunyavirus	Human pathogen
1280	NCBITaxon:11591	Uukuniemi virus		Uukuniemi virus UUK | uukuniemi phlebovirus | uukuniemi virus	Human pathogen
1281	NCBITaxon:10245	Vaccinia virus		vaccinia orthopoxvirus | vaccinia virus | vaccinia virus VV	Human pathogen
1282	NCBITaxon:10335	Varicella-zoster virus		Human herpes virus 3 | Human herpesvirus 3 | Varicella Zoster Virus | varicella zoster virus VZV | varicella-zoster varicellovirus | varicella-zoster virus | varicella-zoster virus VZV	Human pathogen
1283	NCBITaxon:10255	Variola virus		small pox virus | smallpox | variola orthopoxvirus | variola virus | variola virus VAR	Human pathogen
1284	NCBITaxon:11036	Venezuelan equine encephalitis virus		Venezuelan equine encephalitis VEE | Venezuelan equine encephalitis virus VEE | Venezuelan equine encephalomyelitis virus | venezuelan equine encephalitis alphavirus | venezuelan equine encephalitis virus	Human pathogen
1285	NCBITaxon:11276	Vesicular stomatitis virus		vesicular stomatitis vesiculovirus | vesicular stomatitis virus | vesicular stomatitis virus VSV | vesicular stomatitis virus, VSV	Human pathogen
1286	NCBITaxon:164416	Wesselsbron virus		wesselsbron flavivirus | wesselsbron virus	Human pathogen
1287	NCBITaxon:11082	West Nile virus		Egypt 101 virus | west nile flavivirus | west nile virus	Human pathogen
1288	NCBITaxon:11039	Western equine encephalitis virus		western equine encephalitis alphavirus | western equine encephalitis virus	Human pathogen
1289	NCBITaxon:46919	Whitewater Arroyo mammarenavirus		Whitewater Arroyo virus | whitewater arroyo mammarenavirus	Human pathogen
1290	NCBITaxon:440266	WU polyomavirus		wu polyomavirus	Human pathogen
1292	NCBITaxon:38804	Yaba monkey tumor virus		Yaba virus | yaba monkey tumor orthopoxvirus | yaba monkey tumor virus	Human pathogen
1293	NCBITaxon:132475	Yaba-like disease virus		Tanapox virus strain Davis | yaba-like disease orthopoxvirus | yaba-like disease virus	Human pathogen
1294	NCBITaxon:11089	Yellow fever virus		Flavivirus febricis | yellow fever flavivirus | yellow fever virus | yellow fever virus YFV	Human pathogen
1295	NCBITaxon:186538	Zaire ebolavirus		Zaire Ebola virus | zaire ebolavirus	Human pathogen
1296	NCBITaxon:64320	Zika virus		ZikV | zika flavivirus | zika virus	Human pathogen
