ID	CURIS	CORPUS_NAME	TERMS QUERY	NOTES
2244	NCBITaxon:1260	Peptostreptococcus magnus		peptostreptococcus magnus	Human pathogen
2245	NCBITaxon:33033	Peptostreptococcus micros		peptostreptococcus micros	Human pathogen
2246	NCBITaxon:33034	Peptostreptococcus prevotii		peptostreptococcus prevotii	Human pathogen
2247	NCBITaxon:38293	Photobacterium damselae		photobacterium damselae	Opportunistic human pathogen
2249	NCBITaxon:703	Plesiomonas shigelloides		plesiomonas shigelloides	Human pathogen
2251	NCBITaxon:837	Porphyromonas gingivalis		porphyromonas gingivalis	Human pathogen
2252	NCBITaxon:28125	Prevotella bivia		prevotella bivia	Human pathogen
2253	NCBITaxon:28131	Prevotella intermedia		prevotella intermedia	Human pathogen
2254	NCBITaxon:28132	Prevotella melaninogenica		prevotella melaninogenica	Human pathogen
2255	NCBITaxon:584	Proteus mirabalis		proteus mirabalis	Human pathogen
2256	NCBITaxon:102862	Proteus penneri		proteus penneri	Opportunistic human pathogen
2257	NCBITaxon:585	Proteus vulgaris		proteus vulgaris	Opportunistic human pathogen
2258	NCBITaxon:126385	Providencia alcalifaciens		providencia alcalifaciens	Human pathogen
2259	NCBITaxon:587	Providencia rettgeri		providencia rettgeri	Opportunistic human pathogen
2260	NCBITaxon:287	Pseudomonas aeruginosa		pseudomonas aeruginosa	Opportunistic human pathogen
2262	NCBITaxon:294	Pseudomonas fluorescens		pseudomonas fluorescens	Opportunistic human pathogen
2266	NCBITaxon:303	Pseudomonas putida		pseudomonas putida	Opportunistic human pathogen
2270	NCBITaxon:329	Ralstonia pickettii		ralstonia pickettii	Opportunistic human pathogen
2273	NCBITaxon:43767	Rhodococcus equi		rhodococcus equi	Opportunistic human pathogen
2274	NCBITaxon:35788	Rickettsia africae		rickettsia africae	Human pathogen
2275	NCBITaxon:786	Rickettsia akari		rickettsia akari	Human pathogen
2276	NCBITaxon:787	Rickettsia australis		rickettsia australis	Human pathogen
2277	NCBITaxon:788	Rickettsia canada		rickettsia canada	Human pathogen
2278	NCBITaxon:781	Rickettsia conorii		rickettsia conorii	Human pathogen
2279	NCBITaxon:42862	Rickettsia felis		rickettsia felis	Human pathogen
2280	NCBITaxon:35789	Rickettsia helvetica		rickettsia helvetica	Human pathogen
2281	NCBITaxon:37816	Rickettsia honei		rickettsia honei	Human pathogen
2282	NCBITaxon:35790	Rickettsia japonica		rickettsia japonica	Human pathogen
2283	NCBITaxon:33991	Rickettsia montanensis		rickettsia montanensis	Human pathogen
2285	NCBITaxon:35792	Rickettsia parkeri		rickettsia parkeri	Human pathogen
2286	NCBITaxon:782	Rickettsia prowazekii		rickettsia prowazekii	Human pathogen
2289	NCBITaxon:783	Rickettsia rickettsii		rickettsia rickettsii	Human pathogen
2291	NCBITaxon:35793	Rickettsia sibirica		rickettsia sibirica	Human pathogen
2293	NCBITaxon:784	Rickettsia tsutsugamushi		rickettsia tsutsugamushi	Human pathogen
2294	NCBITaxon:785	Rickettsia typhi		rickettsia typhi	Human pathogen
2298	NCBITaxon:2047	Rothia dentocariosa		rothia denticariosa | rothia dentocariosa	Opportunistic human pathogen
2300	NCBITaxon:54736	Salmonella bongori		salmonella bongori	Human pathogen
2301	NCBITaxon:28901	Salmonella enterica		salmonella enterica	Human pathogen
2302	NCBITaxon:54388	Salmonella paratyphi A		salmonella paratyphi a	Human pathogen
2303	NCBITaxon:57045	Salmonella paratyphi B		salmonella paratyphi b	Opportunistic human pathogen
2304	NCBITaxon:57046	Salmonella paratyphi C		salmonella paratyphi c	Opportunistic human pathogen
2305	NCBITaxon:622	Salmonella typhi		escherichia/shigella dysenteriae | salmonella typhi	Human pathogen
2306	NCBITaxon:90371	Salmonella typhimurium		salmonella typhimurium	Human pathogen
2307	NCBITaxon:615	Serratia marcescens		serratia marcescens	Opportunistic human pathogen
2308	NCBITaxon:38313	Shewanella algae		shewanella algae	Human pathogen
2309	NCBITaxon:623	Shigella boydii		escherichia flexneri | escherichia/shigella flexneri | shigella boydii	Human pathogen
2310	NCBITaxon:621	Shigella dysenteriae		shigella dysenteriae	Human pathogen
2311	NCBITaxon:624	Shigella flexneri		shigella flexneri	Human pathogen
2312	NCBITaxon:1280	Shigella sonnei		shigella sonnei	Human pathogen
2313	NCBITaxon:n/a	Spirillum minus		spirillum minus	Human pathogen
